144# Number of sensors
#x	z
1.75	-0.1
1.75	-0.2
1.75	-0.3
1.75	-0.4
1.75	-0.5
1.75	-0.6
1.75	-0.7
1.75	-0.8
1.75	-0.9
1.75	-1
1.75	-1.1
1.75	-1.2
1.75	-1.3
1.75	-1.4
1.75	-1.5
1.75	-1.6
2.25	-0.1
2.25	-0.2
2.25	-0.3
2.25	-0.4
2.25	-0.5
2.25	-0.6
2.25	-0.7
2.25	-0.8
2.25	-0.9
2.25	-1
2.25	-1.1
2.25	-1.2
2.25	-1.3
2.25	-1.4
2.25	-1.5
2.25	-1.6
2.75	-0.1
2.75	-0.2
2.75	-0.3
2.75	-0.4
2.75	-0.5
2.75	-0.6
2.75	-0.7
2.75	-0.8
2.75	-0.9
2.75	-1
2.75	-1.1
2.75	-1.2
2.75	-1.3
2.75	-1.4
2.75	-1.5
2.75	-1.6
3.25	-0.1
3.25	-0.2
3.25	-0.3
3.25	-0.4
3.25	-0.5
3.25	-0.6
3.25	-0.7
3.25	-0.8
3.25	-0.9
3.25	-1
3.25	-1.1
3.25	-1.2
3.25	-1.3
3.25	-1.4
3.25	-1.5
3.25	-1.6
3.75	-0.1
3.75	-0.2
3.75	-0.3
3.75	-0.4
3.75	-0.5
3.75	-0.6
3.75	-0.7
3.75	-0.8
3.75	-0.9
3.75	-1
3.75	-1.1
3.75	-1.2
3.75	-1.3
3.75	-1.4
3.75	-1.5
3.75	-1.6
4.25	-0.1
4.25	-0.2
4.25	-0.3
4.25	-0.4
4.25	-0.5
4.25	-0.6
4.25	-0.7
4.25	-0.8
4.25	-0.9
4.25	-1
4.25	-1.1
4.25	-1.2
4.25	-1.3
4.25	-1.4
4.25	-1.5
4.25	-1.6
4.75	-0.1
4.75	-0.2
4.75	-0.3
4.75	-0.4
4.75	-0.5
4.75	-0.6
4.75	-0.7
4.75	-0.8
4.75	-0.9
4.75	-1
4.75	-1.1
4.75	-1.2
4.75	-1.3
4.75	-1.4
4.75	-1.5
4.75	-1.6
5.25	-0.1
5.25	-0.2
5.25	-0.3
5.25	-0.4
5.25	-0.5
5.25	-0.6
5.25	-0.7
5.25	-0.8
5.25	-0.9
5.25	-1
5.25	-1.1
5.25	-1.2
5.25	-1.3
5.25	-1.4
5.25	-1.5
5.25	-1.6
5.75	-0.1
5.75	-0.2
5.75	-0.3
5.75	-0.4
5.75	-0.5
5.75	-0.6
5.75	-0.7
5.75	-0.8
5.75	-0.9
5.75	-1
5.75	-1.1
5.75	-1.2
5.75	-1.3
5.75	-1.4
5.75	-1.5
5.75	-1.6
1256# Number of data
#a	b	m	n	R	err
